 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                              
  store-api.customer.wishlist.merge                                   POST          ANY      ANY    /store-api/customer/wishlist/merge                                                
  store-api.account.register.confirm                                  POST          ANY      ANY    /store-api/account/register-confirm                                               
  store-api.account.register                                          POST          ANY      ANY    /store-api/account/register                                                       
  store-api.customer.wishlist.delete                                  DELETE        ANY      ANY    /store-api/customer/wishlist/delete/{productId}                                   
  store-api.account.recovery.password                                 POST          ANY      ANY    /store-api/account/recovery-password-confirm                                      
  store-api.account.recovery.send.mail                                POST          ANY      ANY    /store-api/account/recovery-password                                              
  store-api.account.address.change.default.shipping                   PATCH         ANY      ANY    /store-api/account/address/default-shipping/{addressId}                           
  store-api.account.address.change.default.billing                    PATCH         ANY      ANY    /store-api/account/address/default-billing/{addressId}                            
  store-api.account.address.create                                    POST          ANY      ANY    /store-api/account/address                                                        
  store-api.account.address.update                                    PATCH         ANY      ANY    /store-api/account/address/{addressId}                                            
  store-api.order.state.cancel                                        POST          ANY      ANY    /store-api/order/state/cancel                                                     
  store-api.order                                                     GET|POST      ANY      ANY    /store-api/order                                                                  
  store-api.order.set-payment                                         POST          ANY      ANY    /store-api/order/payment                                                          
  store-api.checkout.cart.delete                                      DELETE        ANY      ANY    /store-api/checkout/cart                                                          
  store-api.checkout.cart.add                                         POST          ANY      ANY    /store-api/checkout/cart/line-item                                                
  store-api.checkout.cart.remove-item                                 DELETE        ANY      ANY    /store-api/checkout/cart/line-item                                                
  store-api.checkout.cart.update-lineitem                             PATCH         ANY      ANY    /store-api/checkout/cart/line-item                                                
  store-api.checkout.cart.read                                        GET|POST      ANY      ANY    /store-api/checkout/cart                                                          
  store-api.checkout.cart.order                                       POST          ANY      ANY    /store-api/checkout/order                                                         
  _wdt                                                                ANY           ANY      ANY    /_wdt/{token}                                                                     
  _profiler_home                                                      ANY           ANY      ANY    /_profiler/                                                                       
  _profiler_search                                                    ANY           ANY      ANY    /_profiler/search                                                                 
  _profiler_search_bar                                                ANY           ANY      ANY    /_profiler/search_bar                                                             
  _profiler_phpinfo                                                   ANY           ANY      ANY    /_profiler/phpinfo                                                                
  _profiler_search_results                                            ANY           ANY      ANY    /_profiler/{token}/search/results                                                 
  _profiler_open_file                                                 ANY           ANY      ANY    /_profiler/open                                                                   
  _profiler                                                           ANY           ANY      ANY    /_profiler/{token}                                                                
  _profiler_router                                                    ANY           ANY      ANY    /_profiler/{token}/router                                                         
  _profiler_exception                                                 ANY           ANY      ANY    /_profiler/{token}/exception                                                      
  _profiler_exception_css                                             ANY           ANY      ANY    /_profiler/{token}/exception.css                                                  
  api.admin.search                                                    POST          ANY      ANY    /api/_admin/search                                                                
  administration.index                                                GET           ANY      ANY    /admin                                                                            
